id,code,name_en,name_zh,address_en,address_zh,latitude,longitude,phone,email,height_limit,facility_no,district_id,priority,record_id
00000000-0000-0000-000000000064,P752,Hoi Wah Road,海華路,"Hoi Wah Road, Tuen Mun",屯門海華路,22.379739522297108,113.97052645683289,9467-8494,,,,63,188,100
00000000-0000-0000-000000000065,P751,Capital Building,金必多大廈,"85-95 Un Chau Street, Sham Shui Po",深水埗元州街85-95號,22.33274817268661,114.16266515851021,9229-6642,,,1412691,37,189,101
00000000-0000-0000-000000000068,P743,South Lane,南里,"11-17A South Lane, Western District",西區南里11-17A,22.285364362921268,114.134711176157,9869-7743,,,7999743,15,192,104
00000000-0000-0000-000000000069,P741,Venice Garden,威尼斯花園,"1 Po Wing Road, Sheung Shui",上水保榮路1號,22.497959387168255,114.127416908741,9228-0741,,,7999741,56,193,105
00000000-0000-0000-00000000006b,P739,Ho Fai Garden,豪輝花園,"218-224 Sai Lau Kok Road, Tsuen Wan",荃灣西樓角路218-224號,22.370744,114.1211364,9229-6642,,,1414044,62,194,107
00000000-0000-0000-00000000006c,P735,Bellagio,碧堤半島,"Level 1, Bellagio, 33 Castle Peak Road, Sham Tseng",深井青山公路33號碧堤半島L1,22.367320672030896,114.06098127365112,6113-8735,,,1411206,54,195,108
00000000-0000-0000-00000000006d,P737,East Town Building,東城大廈,"41 Lockhart Road, Wan Chai",灣仔駱克道41號,22.278627796530348,114.17063400149345,9223-6737,,,1412626,21,196,109
00000000-0000-0000-00000000006f,P736,AEON Lai Chi Kok Store,AEON 荔枝角店,"1/F & 2/F AquaMarine, 8 Sham Shing Road, Lai Chi Kok",荔枝角深盛路8號碧海藍天1樓及2樓,22.33315878150711,114.14855539798737,9861-7736,,2.4,1412584,30,198,111
00000000-0000-0000-000000000074,P727,Two Sky Parc,Two Sky Parc,"51 Hung To Road, Kwun Tong",觀塘鴻圖道51號,22.31126209352486,114.22173544764519,9134-0727,,,1412394,29,202,116
00000000-0000-0000-000000000077,P718,Kailey Industrial Centre,啓力工業中心,"12 Fung Yip Street, Chai Wan",柴灣豐業街12號,22.267033962619596,114.24442291259766,9163-1718,,,7999718,6,203,119
00000000-0000-0000-000000000079,P708,Eightland Gardens,八號花園,"2 On Chee Road, Tai Po",大埔安慈路2號,22.45240054452185,114.16687555611134,6017-9744,,,1411172,57,204,121
00000000-0000-0000-00000000007a,P707(II),Chelsea Heights Phase II,卓爾居2期,"1 Shek Pai Tau Path, Tuen Mun",屯門石排頭徑1號,22.400442582486733,113.97438883781433,9018-9707,,,1412337,63,205,122
00000000-0000-0000-00000000007d,P71,Chi Fu Landmark,置富南區廣場,"Chi Fu Road, Pok Fu Lam",薄扶林置富道,22.25798484266325,114.13907378911972,6113-9690,,,1410166,10,208,125
00000000-0000-0000-000000000080,P517,Western Wholesale Food Market ,西區副食品批發市場,"8 Fung Mat Road, Sai Ying Pun",西營盤豐物道8號,22.288411440385598,114.13667857646942,9135-0517 & 9857-0517 ,,,,13,209,128
00000000-0000-0000-0000000000a4,P588,Kwai Fong Terrace,葵芳閣,"15 Kwai Yi Road, Kwai Chung",葵涌葵義路15號,22.356216681708382,114.12838652729988,9381-0132,calvinchan@wilsonparking.com.hk,,1411032,50,243,164
00000000-0000-0000-0000000000a5,P593,Grand Waterfront,翔龍灣,"38 San Ma Tau Street, To Kwa Wan",土瓜灣新碼頭街38號,22.318730925021367,114.19393301010132,9312-1980,,,,39,244,165
00000000-0000-0000-0000000000a6,P595,Shanghai Industrial Investment Building,上海實業大廈,"48-66 Hennessy Road, Wan Chai",灣仔軒尼詩道48-66號,22.2773973468939,114.17102627456188,9843-6364,,,1410794,21,245,166
00000000-0000-0000-0000000000a7,P596,Hong Kong Plaza,香港商業中心,"188 Connaught Road West, Sai Ying Pun",西營盤干諾道西188號,22.2871060013613,114.1363513469696,9172-3596,,,1411941,13,246,167
00000000-0000-0000-0000000000a8,P599E,Wonderland Villas (Eastern),華景山莊 (東),"9 Wah King Hill Road, Lai King",荔景華景山道9號,22.3554904,114.1369974,5130-4199,,,,51,247,168
00000000-0000-0000-0000000000a9,P600,Blossom Garden,寶怡花園,"11 Leung Tak Street, Tuen Mun",屯門良德街11號,22.407666104057675,113.96863549947739,9018-0934,,,1412014,63,248,169
00000000-0000-0000-0000000000ac,P605,HSBC Centre,滙豐中心,"1 Shum Mong Road, Tai Kok Tsui",大角咀深旺道1號,22.319356204413115,114.16067898273468,6407-1265,,,1412188,38,251,172
00000000-0000-0000-0000000000ad,P606,Chinachem Century Tower,華懋世紀廣場,"178 Gloucester Road, Wan Chai",灣仔告士打道178號,22.279996604736798,114.17858138680458,9133-2606,website_g3@wilsonparking.com.hk,,7999606,21,252,173
00000000-0000-0000-0000000000ae,P608,Hilton Plaza,希爾頓中心,"3-9 Sha Tin Central Street, Shatin",沙田正街3-9號,22.3801619,114.187066,9450-0608,,,1411099,55,253,174
00000000-0000-0000-0000000000af,P609,Wealthy Garden,富麗花園,"1-27 Tsuen Kwai Street, Tsuen Wan",荃灣荃貴街1-27號,22.369315526095523,114.12235625088215,9229-6642 ,,,1412428,62,254,175
00000000-0000-0000-0000000000b0,P610,Lun Fung Court,龍豐閣,"363 Des Voeux Road West, Sai Ying Pun",西營盤德輔道西363號,22.28698687323877,114.1364049911499,9172-3596,calvinchan@wilsonparking.com.hk,,1412808,13,255,176
00000000-0000-0000-0000000000b2,P616,Tsuen Kam Centre,荃錦中心,"328-338 Castle Peak Road, Tsuen Wan",荃灣青山公路328-338 號,22.37426006133371,114.11600477993488,9136-9806,,,1412063,62,256,178
00000000-0000-0000-0000000000b3,P617,Tsuen Wan Centre ,荃灣中心,"87-105 Tsuen King Circuit, Tsuen Wan",荃灣荃景圍 87-105 號,22.378498183176056,114.10899147391319,9176-6617,,,1412105,62,257,179
00000000-0000-0000-0000000000b4,P620,Botania Villa,綠怡居 ,"138 Fuk Hang Tsuen Road, Tuen Mun",屯門福亨村道138號,22.4184139,113.9852332,6017-9744,,,1410752,63,258,180
00000000-0000-0000-0000000000b6,P623,Wah Ming Centre,華明中心,"421 Queen's Road West, Sai Ying Pun",西營盤皇后大道西421號,22.2860658,114.1374439,9229-6642,,,1411974,13,260,182
00000000-0000-0000-0000000000b7,P625,K-Point,錦薈坊,"1 Tuen Lung Street, Tuen Mun",屯門屯隆街1號,22.393529918482365,113.97544629871845,6113-9692,,,1412659,63,261,183
00000000-0000-0000-0000000000b9,P627,Castello,帝堡城,"Siu Lek Yuen Road, Shatin",沙田小瀝源路,22.38278267844513,114.21604245901108,6017-9744,,,1410851,55,263,185
00000000-0000-0000-0000000000ba,P628,Millennium Trade Centre,貿易之都,"56 Kwai Cheong Road, Kwai Chung",葵涌葵昌路56號,22.3633317,114.1327831,6407-1263,website_g3@wilsonparking.com.hk,,7999628,49,264,186
00000000-0000-0000-0000000000bb,P629,Grand City Plaza,新領域廣場,"1 Sai Lau Kok Road, Tsuen Wan",荃灣西樓角路1號,22.3747279,114.1145175,9860-7629,website_g3@wilsonparking.com.hk,,7999629,62,265,187
00000000-0000-0000-0000000000bc,P630,Peninsula Tower,半島大廈,"538 Castle Peak Road, Cheung Sha Wan",長沙灣青山道538號,22.339777976203138,114.15080308914185,9684-0630,calvinchan@wilsonparking.com.hk,3.6,1410885,22,266,188
00000000-0000-0000-0000000000bd,P631,Millennium City 1 ,創紀之城1期,"388 Kwun Tong Road, Kwun Tong",觀塘觀塘道388號,22.313257129489088,114.22114670276642,9856-0631,,,1411016,29,267,189
00000000-0000-0000-0000000000be,P632,Millennium City 2 & 3,創紀之城2及3期,"370-378 Kwun Tong Road, Kwun Tong",觀塘觀塘道370-378號,22.314162826705722,114.21998530626297,9856-0632,,,1412139,29,268,190
00000000-0000-0000-0000000000bf,P633,Millennium City 6,創紀之城6期,"392 Kwun Tong Road, Kwun Tong",觀塘觀塘道392號,22.312870035187796,114.22213912010193,9856-0633,,,1411933,29,269,191
00000000-0000-0000-0000000000c0,P634,Fung Nam Road,鳳南路,"Fung Nam Road, Sheung Shui",上水鳳南路,22.507611150843626,114.1281022131443,6017-9744,,,1413848,56,270,192
00000000-0000-0000-0000000000c1,P635,San Shing Avenue,新成路,"San Shing Avenue, Sheung Shui",上水新成路,22.506141747365298,114.12774950265884,6113-3635,,,7999635,56,271,193
00000000-0000-0000-0000000000c2,P637,Sun Kwai Hing Plaza,新葵興廣場,"166-174 Hing Fong Road, Kwai Chung",葵涌興芳路166-174號,22.36402913134557,114.13142681121826,9664-7637,,,1410547,49,272,194
00000000-0000-0000-0000000000c3,P638,Metropolis Plaza,新都廣場,"8 Lung Wan Street, Sheung Shui",上水龍運街8號,22.50250410126431,114.1293078660965,9248-4638,,,1410836,56,273,195
00000000-0000-0000-0000000000c4,P639,Yuen Long Plaza,元朗廣場,"251 Castle Peak Road, Yuen Long",元朗青山公路251號,22.445176251488796,114.0238930284977,9317-7639,,,1412501,65,274,196
00000000-0000-0000-0000000000c5,P640,Thriving Industrial Centre,匯力工業中心,"26-28 Sha Tsui Road, Tsuen Wan",荃灣沙咀道26-38號,22.37384895354824,114.10882115364075,9861-3640,,,1411263,62,275,197
00000000-0000-0000-0000000000c6,P643,The Chelsea ,The Chelsea 蘇杭街69號,"69 Jervois Street, Sheung Wan",上環蘇杭街69號,22.28527935899353,114.15122151374817,9665-6643,website_g3@wilsonparking.com.hk,,7999643,16,276,198
00000000-0000-0000-0000000000c8,P648,Admiralty Car Park,金鐘停車場,"Rodney Street, Queensway, Admiralty",金鐘樂禮街,22.27841186364058,114.16585832834244,9304-5057,,,1410745,2,278,200
00000000-0000-0000-0000000000c9,P650,New Tech Plaza,新科技廣場,"34 Tai Yau Street, San Po Kong",新蒲崗大有街34號,22.33685792791796,114.19677078723907,9544-0650,,,1412196,35,279,201
00000000-0000-0000-0000000000cb,P655,Evergreen Court,翠林閣,"9 Chui Lok Street, Tai Po",大埔翠樂街9號,22.45376826527015,114.16434824466705,9444-4655,calvinchan@wilsonparking.com.hk,,1412212,57,281,203
00000000-0000-0000-0000000000cc,P656,Fanling Town Centre,粉嶺名都,"18 Fanling Station Road, Fanling",粉嶺火車站路18號,22.492383607039063,114.13885116577148,9444-4656,,,1412162,47,282,204
00000000-0000-0000-0000000000cd,P657(I),Shatin Park Stage 1,花園城第一期,"8-12 Sha Kok Street, Shatin",沙田沙角街8-12號,22.379526226053223,114.19780880212784,9160-6657,,,1412766,55,283,205
00000000-0000-0000-0000000000cf,P657(III),Shatin Park Stage 3,花園城第三期,"13-15 Kong Pui Street, Shatin",沙田崗背街13-15號,22.379749443044684,114.1976498812437,9160-6657,,,1412774,55,284,207
00000000-0000-0000-0000000000d0,P658,Sheung Shui Town Centre,上水名都,"9 Chi Cheong Road, Sheung Shui",上水智昌路9號,22.50126757715597,114.13195252418518,9444-4658,,,1412220,56,285,208
00000000-0000-0000-0000000000d7,P499,Tak Bo Garden,得寶花園,"3 Ngau Tau Kok Road, Ngau Tau Kok",牛頭角牛頭角道3號,22.327474657093255,114.21437948942184,9170-6499,,,1410463,33,286,215
00000000-0000-0000-0000000000d8,P494,8 Commercial Tower,八號商業廣場,"8 Sun Yip Street, Chai Wan",柴灣新業街8號,22.267064990004062,114.24690261483192,6113-9694,,,1410075,6,287,216
00000000-0000-0000-0000000000db,P482,Austin Tower,好兆年行,"22-26A Austin Avenue, Tsim Sha Tsui",尖沙咀柯士甸路22-26A號,22.302892061110796,114.17506635189056,9229-6642,,,1411230,40,288,219
00000000-0000-0000-0000000000dc,P481,Concord Square,協和廣場,"B1-B2, 1 Tai Uk Street, Tsuen Wan",荃灣大屋街1號B1-B2,22.3701470685721,114.11505192518234,9229-6642 ,,,1410406,62,289,220
00000000-0000-0000-0000000000dd,P480,Grandway Garden,富嘉花園,"16 Mei Tin Road / 15 & 35 Tsuen Nam Road, Shatin",沙田美田路16號/ 15 & 35 村南道,22.373975448380783,114.17786121368408,6017-9744,,,1411214,58,290,221
00000000-0000-0000-0000000000de,P479,Wai Wah Centre,偉華中心,"11-17 Sha Tin Centre Street, Shatin",沙田正街11-17號,22.381337993625298,114.18779745697975,6017-9744,,,1411222,55,291,222
00000000-0000-0000-0000000000e5,P387,Cheung Sha Wan Wholesale Food Market,長沙灣副食品批發市場,"36 Yen Chow Street West, Cheung Sha Wan",長沙灣欽州街西36號,22.323584210592408,114.15307760238647,9680-3118,,,,22,294,229
00000000-0000-0000-0000000000e9,P706,South Wave Court,南濤閣,"3 Shum Wan Road, Aberdeen",香港仔深灣道3號,22.24512939520358,114.16603535413742,9160-0266,,,,1,295,233
00000000-0000-0000-0000000000eb,P349,Sai Kung Garden,西貢花園,"16 Chan Man Street, Sai Kung",西貢親民街16號,22.38262394985941,114.27147567272186,6017-9744,,,1412469,53,296,235
00000000-0000-0000-0000000000ec,P467,Harbour Pinnacle,凱譽,"2-20A Minden Avenue, Tsim Sha Tsui",尖沙咀棉登徑2-20A,22.296742633785076,114.17451247572899,6113-9693,,,1412378,40,297,236
00000000-0000-0000-0000000000ee,P463,Bedford Road,必發道,"59-65 Bedford Road, Tai Kok Tsui",大角咀必發道59-65號,22.322869626994255,114.16388288140297,9843-0463,,,7999463,38,298,238
00000000-0000-0000-0000000000f2,P456,CCT Telecom Building,中建電訊大廈,"11 Wo Shing Street, Fo Tan",火炭禾盛街11號,22.39745684977921,114.19789731502533,9867-0813,calvinchan@wilsonparking.com.hk,,1410786,48,302,242
00000000-0000-0000-0000000000f4,P325,Two Chinachem Exchange Square,華懋交易廣場二期,"338 King's Road, North Point",北角英皇道338號,22.29039563471761,114.19721268117428,6113-9696,,,1410448,9,304,244
00000000-0000-0000-0000000000f5,P323,Hop Yick Plaza,合益廣場,"19-27 Tai Tong Road, Yuen Long",元朗大棠道19-27號,22.443066291109822,114.0293884268284,6017-9744,,,1410778,65,305,245
00000000-0000-0000-0000000000f7,P266,Southmark,南匯廣場,"11 Yip Hing Street / Yip Kan Street, Aberdeen",香港仔業興街11號/業勤街,22.249312479048204,114.16477739810944,9160-0266,,,,1,307,247
00000000-0000-0000-0000000000f8,P255,Chinachem Tsuen Wan Plaza,華懋荃灣廣場,"455 Castle Peak Road, Tsuen Wan",荃灣青山道455號,22.375247831184765,114.11142826080322,6017-9741,,,1410117,62,308,248
00000000-0000-0000-0000000000fc,P233,Cheong Shing Court,昌盛閣,"5-7 San Lau Street, To Kwa Wan",土瓜灣新柳街5至7號,22.312345222930762,114.18699949979782,2764-5505,,,7999233,39,312,252
00000000-0000-0000-0000000000fe,P232,Siu On Centre,兆安中心,"188 Lockhart Road, Wan Chai",灣仔洛克道188號,22.27818476144854,114.17418256402016,6010-8232,,,1412410,21,314,254
00000000-0000-0000-0000000000ff,P228,New Mandarin Plaza,新文華中心,"14 Science Museum Road, Tsim Sha Tsui",尖沙咀科學館道14號,22.300563102825183,114.17892470955849,9869-3273,,,1410083,40,315,255
00000000-0000-0000-000000000101,P221,Sai Kung Town Centre,西貢苑,"22-40 Fuk Man Road & Chan Man Street, Sai Kung",西貢福民路22-40號及親民街,22.38253962522458,114.27171170711517,6017-9742,,,1410943,53,317,257
00000000-0000-0000-000000000102,P219,Peninsula Square,半島廣場,"18 Sung On Street, Hunghom",紅磡祟安街18號,22.311401052177374,114.1894268989563,9131-6329,calvinchan@wilsonparking.com.hk,,1410281,25,318,258
00000000-0000-0000-000000000103,P200,Sunway Gardens,新威園,"989 King's Road, Quarry Bay",鰂魚涌英皇道989號,22.286157937241942,114.21238660812378,6496-2177,,,1410109,11,319,259
00000000-0000-0000-000000000104,P218,Kam Tao Building,金都洋樓,"16 Glass Street / 4 Whifield Road, North Point",北角玻璃街16號/威菲路道4號,22.28652276895992,114.1905078291893,6113-9698,,,,9,320,260
00000000-0000-0000-000000000105,P212,Eldo Court,雅都花園,"126 Heung Sze Wui Road, Tuen Mun",屯門鄉事會路126號,22.397947863384296,113.97588148713112,6017-9744,calvinchan@wilsonparking.com.hk,,1410927,63,321,261
00000000-0000-0000-000000000107,P196,HK Sanatorium & Hospital,養和醫院,"2-4 Village Road, Happy Valley",跑馬地山村道2至4號,22.2691673,114.1835988,9383-3196,,,,7,323,263
00000000-0000-0000-000000000108,P195,Dragon Centre (Sham Shui Po),西九龍中心,"37K Yen Chow Street, Sham Shui Po",深水埗欽州街37K,22.330536942772227,114.15978111326694,9862-1935,,,,37,324,264
00000000-0000-0000-000000000109,P178,Lai Bo Garden,麗寶花園,"38 Cheung Wah Street, Cheung Sha Wan",長沙灣昌華街38號,22.34004777367011,114.15527768433094,9433-2178,calvinchan@wilsonparking.com.hk,2,1410893,22,325,265
00000000-0000-0000-00000000010a,P427,Fortune Plaza,昌運中心,"4 On Chee Road, Tai Po",大埔安慈路4號,22.452263585788028,114.16741669178009,9381-7427,,,1410158,57,326,266
00000000-0000-0000-00000000010b,P173,Tsuen Wan Plaza,荃灣廣場,"4-30 Tai Pa Street, Tsuen Wan",荃灣大壩街4至30號,22.3711416,114.1118007,6018-9971,,3.2,1411115,62,327,267
00000000-0000-0000-00000000010c,P426,Easy Tower,永義廣場,"609-611 Tai Nan West Street, Cheung Sha Wan",長沙灣大南西街609-611號,22.339060994650318,114.14868280291557,9723-0426,,,7999426,22,328,268
00000000-0000-0000-00000000010f,P165,Harbour Heights O/A,海峰園 (露天),"Electric Road, North Point",北角電器道,22.2878873,114.190003,9663-9123,,,1412683,9,331,271
00000000-0000-0000-000000000117,P125,Hong Lai Gardens,康麗花園,"Heung Sze Wui Road, Tuen Mun",屯門鄉事會路,22.398776134929424,113.97460341453552,6113-9695,,,1410950,63,339,279
00000000-0000-0000-000000000118,P111,YOHO PLUS,加點,"2-6 Fung Cheung Road, Yuen Long",元朗鳳翔路2-6號,22.443904508897525,114.03154268860817,6113-9691,,,1410307,65,340,280
00000000-0000-0000-000000000119,P93,The Sun Arcade,新太陽廣場,"Kowloon Park Drive, Tsim Sha Tsui",尖沙咀九龍公園徑,22.2967958,114.1700694,6017-9740,website_g3@wilsonparking.com.hk,,1410091,40,341,281
00000000-0000-0000-00000000011b,P84,Onbury,安百利,"3 Peace Avenue, Mongkok",旺角太平道3號,22.317959246989606,114.17405247688293,9229-6642,calvinchan@wilsonparking.com.hk,,1412600,32,342,283
00000000-0000-0000-00000000011c,P81,Chinachem Golden Plaza,華懋廣場,"77 Mody Road, Tsim Sha Tsui East",尖沙咀東麼地道77號,22.30021195657189,114.17872220277786,9229-6642,,,1410356,40,343,284
00000000-0000-0000-00000000011d,P78,Ho Shun Tai Building,好順泰大廈,"423 Sai Ching Street, Yuen Long",元朗西菁街423號,22.442069386097817,114.02766220271587,6017-9744,calvinchan@wilsonparking.com.hk,,1410257,65,344,285
00000000-0000-0000-00000000011e,P77,Shun Fook Barn Car Park,順福糧倉停車場,"60 Sau Fu Street, Yuen Long",元朗壽富街60號,22.44540927908164,114.02659803628922,6113-9697,,,1410372,65,345,286
00000000-0000-0000-000000000120,P70,The Park Lane,柏寧酒店,"310 Gloucester Road, Causeway Bay",銅鑼灣告士打道310號,22.28066797358348,114.18625250458717,9130-1070,calvinchan@wilsonparking.com.hk,,1412006,4,347,288
00000000-0000-0000-000000000121,P50,Fu Shing Building,富盛大廈,"9 Sai Ching Street, Yuen Long",元朗西菁街9號,22.442183423480422,114.02753680944443,9225-7363,,,1410133,65,348,289
00000000-0000-0000-000000000122,P49,Viking Gardens,維景花園,"40-42 Hing Fat Street, Tin Hau",天后興發街40至42號,22.283915566283856,114.19170677661896,9736-0049,,,1410364,20,349,290
00000000-0000-0000-000000000123,P36,Po Sing Centre,寶星中心,"Lower G/F Po Sing Centre, 1-25 Ta Chuen Ping Street, Kwai Chung",葵涌打磚坪街1-25號寶星中心地下,22.366670803546118,114.13594365119934,9229-6642,calvinchan@wilsonparking.com.hk,,1412782,49,350,291
00000000-0000-0000-000000000124,P25,Kwai Sing Centre,葵星中心,"367 Castle Peak Road, Kwai Chung",葵涌青山道367號,22.36540082279022,114.13595169782639,9169-8071,,,1410232,49,351,292
00000000-0000-0000-000000000126,P23,Victoria Centre,維多利中心,"15 Watson Road, North Point",北角屈臣道15號,22.287395134819835,114.19047832489014,6113-9698,,,1410935,9,353,294
00000000-0000-0000-000000000127,P9,Kwai Fong Car Park,葵芳停車場,"19 Kwai Yi Road, Kwai Fong",葵芳葵義路19號,22.355622575294774,114.12790238857269,2429-0566,,,1410653,50,354,295
00000000-0000-0000-000000000128,P5,City Hall Car Park,大會堂停車場,"1 Edinburgh Place, Central",中環愛丁堡廣場1號,22.281969,114.16172504425049,2118-6918,,,1410620,5,355,296
00000000-0000-0000-000000000129,P4,Star Ferry Car Park,天星停車場,"9 Edinburgh Place, Central",中環愛丁堡廣場9號,22.2831833,114.160275,2118-6917,,,1410612,5,356,297
00000000-0000-0000-00000000012a,P88,World Trade Centre,世界貿易中心,"280 Gloucester Road, Causeway Bay",銅鑼灣告士打道280號,22.2820783,114.1837498,6111-2752,,,1410018,4,357,298
00000000-0000-0000-00000000012e,P317,Verbena Heights,茵怡花園,"8 Mau Tai Road, Tseung Kwan O",將軍澳貿泰路8號,22.3219316,114.2565317,6113-1317,,,,60,103,302
00000000-0000-0000-000000000130,P592,The Pinnacle,叠翠軒,"8 Wan Hang Road, Tsueng Kwan O",將軍澳運享路8號,22.3211662,114.2584566,9016-8592,,,,60,101,304
00000000-0000-0000-00000000013b,P855,Lancashire Centre,利嘉中心,"361 Shau Kei Wan Road, Shau Kei Wan",筲箕灣筲箕灣道361號,22.2773942,114.2275115,5501-2855,,,7999855,14,93,315
00000000-0000-0000-00000000013d,P857,Port 33,Port 33,"No. 33, Tseuk Luk Street, San Po Kong",新蒲崗爵祿街33號,22.335393,114.197652,5501-3857,,,1413301,35,91,317
00000000-0000-0000-000000000149,P872,Hyatt Centric,凱悅尚萃酒店,"B1/F, 1 North Point Estate Lane, North Point",北角北角邨里一號地下低層,22.2924714,114.1992249,5720-6872,,,1413343,9,79,329
00000000-0000-0000-00000000014a,P330-1,HKIA Car Park 1,香港國際機場1號停車場,"Hong Kong International Airport, Chek Lap Kok, Lantau Island    ",大嶼山赤鱲角香港國際機場,22.3124376,113.9361457,2183-4360,,,,96,73,330
00000000-0000-0000-00000000014c,P330-4,HKIA Car Park 4,香港國際機場4號停車場,"Hong Kong International Airport, Chek Lap Kok, Lantau Island ",大嶼山赤鱲角香港國際機場,22.3182403,113.9337519,2183-4360,,,,96,75,332
00000000-0000-0000-00000000014f,P330-loading dock 1,HKIA Loading Dock 1,香港國際機場1號卸貨區,"Hong Kong International Airport, Chek Lap Kok, Lantau Island ",大嶼山赤鱲角香港國際機場,22.312712,113.9360561,2183-4360,,,,96,77,335
00000000-0000-0000-000000000152,P873,Coda Plaza,科達中心,"Basement Level 1 - 4, 51 Garden Road, Central",中環花園道51號地庫1至4層,22.2763392,114.1563178,9229-6642,,,1412535,5,70,338
00000000-0000-0000-000000000154,P869-1,"Car Park 1, HZMB Hong Kong Port ",港珠澳大橋香港口岸1號停車場,"Car Park 1, Hong Kong-Zhuhai-Macao Bridge Hong Kong Port Artificial Island, Chek Lap Kok, Lantau Island",大嶼山赤鱲角港珠澳大橋香港口岸人工島1號停車場,22.31671,113.952456,6466-2869/ 2499- 6132,,,,96,69,340
00000000-0000-0000-000000000155,P869-2,"Car Park 2, HZMB Hong Kong Port ",港珠澳大橋香港口岸2號停車場,"Car Park 2, Hong Kong-Zhuhai-Macao Bridge Hong Kong Port Artificial Island, Chek Lap Kok, Lantau Island",大嶼山赤鱲角港珠澳大橋香港口岸人工島2號停車場,22.315912,113.952561,6466-2869/ 2499- 6132,,,,96,68,341
